name,description,id,release_date,duration_ms
Como a Loft utiliza Dados para reinventar o mercado imobiliário - Data Hackers Podcast 50,"Já imaginou que desafios um time de dados tem ao disruptar o mercado imobiliário? Que tipo de dados eles usam e como coletam? Que produtos eles criam? E o que é o tal do Data BizDev? Isso e muito mais histórias curiosas você vai conhecer no episódio de hoje, em que convidamos o time de dados da Loft para contar como é o dia a dia de profissionais de dados nesse unicórnio brasileiro. Com a gente hoje está Guilherme Marmerola — Senior Data Science Manager — , Renata Nobre — Group Product Manager — , e Daniel Scalli — Head of Data Science. Confira esse episódio que está sensacional. Nossos convidados Linkedin do Daniel Scalli Linkedin do Guilherme Marmerola Linkedin da Renata Nobre Acesse o post no Medium para ter acesso as referências do episódio:  https://medium.com/data-hackers/como-a-loft-utiliza-dados-para-reinventar-o-mercado-imobili%C3%A1rio-data-hackers-podcast-50-9358ded1d7f0",0PY30KUTacxrAmFx9NKVTp,2021-12-10,3672581
"O passado, presente e o futuro da Engenharia de Dados - Data Hackers Podcast 49","Como será que a área de Engenharia de Dados vai estar nos próximos anos? Que tipos de ferramentas, profissionais e processos existirão? Como foi o progresso até aqui? Ainda vale a pena usar Hadoop? E a tal da Feature Store, hein? Isso e muito mais nós conversamos com duas feras no assunto: Gustavo ""Prezado"" Campos — Gerente Senior de Engenharia de Dados na Hotmart — e Rodrigo ""Teoria"" Carneiro — Big Data Specialist na TK Solutions. Acesse nosso post com as referências: https://medium.com/data-hackers/o-passado-presente-e-o-futuro-da-engenharia-de-dados-data-hackers-podcast-49-34be714b20f6",0BWt3057urFTc31gJhfIs1,2021-11-19,3244617
Trabalhando com dados e jogos na Wildlife Studios  - Data Hackers Podcast 48,"Sempre teve curiosidade em saber como profissionais de dados trabalham em uma empresa de jogos, que tipos de desafios eles enfrentam e quais ferramentas usam? Nesse episódio de hoje nós convidamos Arnaldo Gualberto  — Senior Machine Learning Engineer — e Felipe Antunes — Senior Staff Data Scientist — da Wildlife pra nos contar um pouco mais do seu dia a dia. Linkedin do Arnaldo: https://www.linkedin.com/in/arnaldo-gualberto/ Linkedin do Felipe: https://www.linkedin.com/in/feantunes/ Acesse nosso post do Medium pra acessar as referências: https://medium.com/data-hackers/trabalhando-com-dados-e-jogos-na-wildlife-studios-data-hackers-podcast-48-80ff8511716 ",6Lo8qSCOskhjETQlSqraV5,2021-10-29,4088711
Mulheres em Dados na XP Inc. - Data Hackers Podcast 47,"Nesse episódio bem especial, Giovanna Neves conversou com mulheres que estão trabalhando em diversas áreas da XP Inc., que compartilharam suas experiências, desafios e dicas para quem está querendo começar na área. Para esse papo nós convidamos Isabelle Idalgo — Data Analyst — , Lis Barreto — Estagiária em Dados — , e Maíra Araújo — Senior Data Engineer. Vem conferir que está incrível! Conheça nossas convidadas: Giovanna Neves: https://www.linkedin.com/in/giovannand/ Lis Barreto: https://www.linkedin.com/in/lis-r-barreto/ Isabelle Idalgo: https://www.linkedin.com/in/isabelle-idalgo/ Maíra Araújo: https://www.linkedin.com/in/araujomaira Acesse nosso post no Medium para ter acesso as referências: https://medium.com/data-hackers/mulheres-em-dados-na-xp-inc-data-hackers-podcast-47-be0b2de6cec7",5wy8XteJkrKPvflUHOzW2W,2021-10-08,3629818
Time Series Forecasting no Grupo Boticário - Data Hackers Podcast 46,"Hoje vamos falar sobre como podemos criar máquinas para prever o futuro! Isso mesmo, meus amigos, finalmente o tão pedindo episódio sobre Time Series Forecasting está no ar! E nós convidamos o pessoal do Grupo Boticário para nos contar como eles estão aplicando previsões em um dos maiores grupos de beleza do mundo. Para esse papo nós convidamos Domingos Santos, Lucas Marchioro e Thiago Alves para compartilhar da sua experiência com a gente. Acesse nosso post no Medium para ter acesso as referências: https://medium.com/data-hackers/time-series-forecasting-no-grupo-botic%C3%A1rio-data-hackers-podcast-46-c2396bf602c",03oHZFon4UOXNoOvhfHEyi,2021-10-01,3669916
As maiores mentiras sobre carreira em Dados -  Data Hackers Podcast 45,"No episódio de hoje nós convidamos os Community Managers do Data Hackers para trocarmos uma ideia sobre as maiores mentiras e falácias que são contadas no mundo de dados. Ainda estão acreditando em salários altos? Ser gerente é o único caminho pro sucesso? E o tal do mestrado, hein? Quando vale a pena fazer? Nesse episódio nós trouxemos Mario Filho, Pietro Oliveira, e Marlesson Santana para contarmos os causos que já vimos aparecer na indústria. Acesse nosso post do Medium para acessar algumas referências:  https://medium.com/data-hackers/as-maiores-mentiras-sobre-carreira-em-dados-data-hackers-podcast-45-593bad7649",1IbQAM7K94MIXM1tgx8Cj2,2021-09-24,4767320
"Construindo Data Lakehouse e muito mais, no Grupo Boticário  -  Data Hackers Podcast 44","O que é um Data Lakehouse? Parece mais uma nova modinha, mas não: é uma nova forma de se construir uma Plataforma que facilita e democratiza o acesso a dados, desde sua criação. Legal né? Essa e muitas outras discussões permearam nosso episódio 44, com a presença dos feras em Data Engineering do Grupo Boticário. Trouxemos as grandes referências do GB em Engenharia e Arquitetura de Dados para dar essa aula pra gente: Robson Mendonça (Gerente SR Engenharia de Dados), Edson Junior (Gerente de Engenharia de Dados)  Marcus Bittencourt (Gerente de Arquitetura e Plataforma de Dados). Veja os links do episódio no nosso post do Medium: https://medium.com/data-hackers/construindo-data-lakehouse-e-muito-mais-no-grupo-botic%C3%A1rio-data-hackers-podcast-44-20d67f05cfa4",5SdiXLTPm6zoPvmcXRbgpu,2021-09-03,3462269
Trabalhando com Dados no Grupo Boticário - Data Hackers Podcast 43,"Conheça as vagas do Grupo Boticário: https://bit.ly/GrupoBoticarioVagas Como que o maior grupo de beleza do mundo utiliza dados no dia dia? Já imaginou o desafio de democratizar dados para milhares de pessoas de um grupo que existe a décadas? E como que AI e Machine Learning é aplicado na indústria da beleza? Isso e muito mais a gente conversa nesse papo sensacional com o pessoal do Grupo Boticário. Mariana Oliveira (Data Product Owner), Erika Cipriano (Analista de BI e Analytics) e Antonio Junior (Data Scientist) compartilham com a gente um pouco do dia a dia deles nesse papo bem descontraído. Acesse nosso post do Medium pra ter acesso as referências do episódio: https://medium.com/data-hackers/trabalhando-com-dados-no-grupo-botic%C3%A1rio-data-hackers-podcast-43-9279a6e73815",0YsK6zhEeuSD78zeSoHcaB,2021-08-13,4352078
Desmistificando GPU (feat. Nvidia) - Data Hackers Podcast 42,"Você ainda acha que placa de vídeo só é usada pra rodar jogos? Ainda acha que é preciso desembolsar milhares de reais para começar a usar uma? Ou então acha que só quem mexe com Deep Learning está usando GPUs? Se você acha isso, esse episódio é pra você! Nós convidamos nossos amigos da Nvidia, João Paulo Navarro (Solutions Architect) e Patrícia Pampanelli (Solutions Architect) pra desmistificar tudo que precisamos saber sobre as famosas GPUs.  Siga a Nvidia no Linkedin: https://www.linkedin.com/showcase/nvidiabrasil/   Linkedin da Patricia Pampanelli: https://www.linkedin.com/in/patricia-pampanelli/  Linkedin do João Paulo Navarro: https://www.linkedin.com/in/jppnavarro/  Acesse nosso post no Medium pra ter acesso as referências do episódio: https://medium.com/data-hackers/desmistificando-gpu-feat-nvidia-data-hackers-podcast-42-9787130892b5",6BPMIwA3BOVc4AKC9aInxz,2021-07-30,4031895
Data Products no Magalu - Data Hackers Podcast 41,"Você já ouviu falar de produto de dados? Já parou pra pensar como é criar produtos que facilitam a vida de times consumirem e enviarem dados, criar modelos e gerar inteligência para o negócio? É sobre isso que vamos falar hoje junto com Marcelo Oses — Data Group Product Manager no Magalu — e Filipe Comparini — Data Platform Manager no Magalu — , onde eles compartilham como foi essa experiência em criar produtos e plataformas de dados para os times do Magazine Luiza. > A NOVA PARCEIRA DO DH É O GRUPO BOTICÁRIO! A Estratégia de Dados do Grupo Boticário: https://bit.ly/DadosGB Vagas no Grupo Boticário: https://bit.ly/GrupoBoticarioVagas > Links do episódio Clique aqui e acesse o link do nosso post no Medium pra ter acesso as referências",72804c7IpjxUKCZ2lSi8G5,2021-07-09,3886132
